"report-concentracoes"
"Time Step ""flow-time etc.."""
"(""Time Step"" ""flow-time"" ""delta-time"" ""iters-per-timestep"" ""mon_x"" ""mon_sacarose"" ""mon_glicose"" ""mon_etanol"")"
"0 0 0.001 0 0.0403150242326334 0.2113921063394673 0.5803256438721188 0"
"50 0.3416269582950663 0.006597771250396774 10 0.04031526633510042 0.2113925243983739 0.5802998133625534 2.602401419598682e-06"
"100 0.6683717775841467 0.006486115385685554 10 0.04031550344523085 0.2113881599170438 0.5803089264082479 5.151150452234339e-06"
"150 0.9866218813755342 0.006242553659718048 10 0.04031573439018076 0.2113836085021887 0.5803200135560412 7.633656426110559e-06"
"200 1.294663923538914 0.006049712672654277 10 0.04031595792530154 0.2113791260557068 0.580331290715713 1.003654307708512e-05"
"250 1.593034772349165 0.005901322564589343 10 0.04031617444045953 0.2113747406215446 0.5803425251014915 1.236399728403065e-05"
"300 1.886067188866104 0.005839456051068379 10 0.04031638707993633 0.2113704017809616 0.5803537889330951 1.464981628819204e-05"
"350 2.177567574273708 0.005835532202553008 10 0.04031659860582607 0.2113660575950875 0.5803651972050305 1.692369157082899e-05"
"400 2.468277589427978 0.005790029858102848 10 0.04031680955650147 0.2113617063889951 0.5803767112041071 1.919140847304574e-05"
"450 2.756719432317786 0.00575038660749429 10 0.04031701885970215 0.2113573688176037 0.5803882830887008 2.144143903946225e-05"
"500 3.043513282144884 0.005723472450446041 10 0.04031722696546775 0.2113530391983907 0.5803999112221688 2.367862096037708e-05"
"550 3.328695385704952 0.005688843431842019 10 0.04031743390018647 0.2113487186916794 0.5804115847366735 2.590323696611006e-05"
"600 3.612352748412661 0.005656457511507507 10 0.04031763972709045 0.2113444081461287 0.5804232915263551 2.811596605789295e-05"
"650 3.894407870414617 0.005646583167378629 10 0.0403178443899197 0.2113401147792063 0.5804349847136017 3.031620367908749e-05"
"700 4.176747953777316 0.005630282045375537 10 0.04031804925795953 0.2113358134451335 0.5804467166659385 3.251867139890455e-05"
"750 4.458121572777802 0.005622871532240938 10 0.0403182534231224 0.2113315253237723 0.5804584200432998 3.471360725099788e-05"
"800 4.739882479960512 0.005641805756281437 10 0.04031845786768991 0.2113272292393026 0.5804701550857073 3.691157158847308e-05"
"850 5.021450420416016 0.005614972994981452 10 0.04031866217073213 0.2113229328454651 0.5804819062875448 3.910803802122146e-05"
"900 5.30194314888382 0.005607523522432475 10 0.04031886569211143 0.2113186502962229 0.5804936317841231 4.129612431732411e-05"
"950 5.582176573735974 0.005600067310103109 10 0.04031906902385753 0.2113143698171773 0.580505360762549 4.348219534631906e-05"
"1000 5.861927093214836 0.005594466718330431 10 0.04031927200369216 0.2113100947489674 0.5805170844003348 4.566450680661897e-05"
"1050 6.142017113455437 0.005606992318313715 10 0.04031947522833692 0.2113058131237791 0.5805288328414329 4.78494742302142e-05"
"1100 6.422703869772517 0.005619725442882082 10 0.0403196788844437 0.2113015210510998 0.5805406165542455 5.003910436157845e-05"
"1150 6.704059457691917 0.005633273630334096 10 0.04031988302430885 0.2112972176422157 0.5805524370242849 5.223395966698749e-05"
